date,VN30,VNAllshare,VNMidcap,VNSmallcap
2014-11-20,628.8,584.43,665.47,744.71
2014-11-21,623.74,579.36,657.75,731.69
2014-11-24,616.39,572.72,654.25,717.98
2014-11-25,623.23,578.24,656.87,723.07
2014-11-26,616.48,572.42,650.56,715.54
2014-11-27,615.57,572.7,655.56,721.95
2014-11-28,611.15,570.24,658.45,724.26
2014-12-01,614.44,572.21,655.63,723.77
2014-12-02,613.57,571.91,658.18,724.88
2014-12-03,619.29,576.55,661.72,729.54
2014-12-04,624.31,580.18,663.23,727.78
2014-12-05,624.67,580.46,664.28,727.68
2014-12-08,619.87,576.49,660.13,720.45
2014-12-09,603.85,561.34,640.26,695.17
2014-12-10,610.81,568.69,654.24,706.49
2014-12-11,604.8,563.25,649.47,698.83
2014-12-12,609.33,567.22,653.36,705.24
2014-12-15,603.92,563.16,650.08,706.11
2014-12-16,591.78,552.34,637.64,693.06
2014-12-17,569.71,532.97,621.62,670.18
2014-12-18,578.88,540.4,623.16,685.29
2014-12-19,570.61,532.83,615.29,671.67
2014-12-22,587.56,545.85,624.03,679.26
2014-12-23,589.61,547.18,621.8,675.78
2014-12-24,591.19,548.8,624.73,676.01
2014-12-25,585.19,543.55,620.3,668.49
2014-12-26,582.45,539.61,612.44,657.09
2014-12-29,583.36,538.43,606.12,641.64
2014-12-30,591.18,545.79,616.62,654.59
2014-12-31,601.66,556.52,631.36,673.39
2015-01-05,599.69,555.18,627.56,679.26
2015-01-06,606.37,560.74,632.42,685.34
2015-01-07,607.65,561.99,631.47,688.39
2015-01-08,606.85,561.0,628.54,686.31
2015-01-09,618.41,570.62,634.22,692.64
2015-01-12,615.73,566.94,628.24,683.34
2015-01-13,619.39,570.55,632.8,685.89
2015-01-14,616.84,569.32,636.34,688.13
2015-01-15,617.62,570.1,638.1,692.45
2015-01-16,614.72,568.42,637.63,696.04
2015-01-19,611.64,566.0,636.49,693.62
2015-01-20,609.19,564.58,637.93,694.28
2015-01-21,606.53,562.33,634.17,695.79
2015-01-22,610.31,565.12,636.25,696.8
2015-01-23,615.16,568.91,638.11,701.29
2015-01-26,612.64,568.89,644.6,702.26
2015-01-27,609.98,567.15,645.75,691.98
2015-01-28,613.53,570.32,651.21,692.79
2015-01-29,613.9,572.04,654.79,690.76
2015-01-30,606.54,565.66,647.59,685.46
2015-02-02,598.46,558.86,643.91,675.15
2015-02-03,585.47,546.54,628.44,666.27
2015-02-04,588.83,549.54,630.94,665.14
2015-02-05,591.28,552.36,636.14,668.61
2015-02-06,595.69,556.74,643.36,672.02
2015-02-09,594.77,555.35,639.82,668.25
2015-02-10,595.53,555.66,640.8,667.83
2015-02-11,607.33,565.04,646.88,676.69
2015-02-12,613.36,569.78,649.56,681.49
2015-02-13,617.2,572.87,650.46,685.44
2015-02-24,624.17,578.29,653.1,691.37
2015-02-25,619.44,575.1,651.11,686.37
2015-02-26,623.84,578.42,655.17,689.67
2015-02-27,618.39,574.91,654.14,691.55
2015-03-02,617.05,573.42,651.85,690.06
2015-03-03,627.27,581.16,655.87,694.81
2015-03-04,629.69,584.01,660.41,700.63
2015-03-05,625.25,581.25,661.17,702.0
2015-03-06,622.75,579.85,662.57,703.91
2015-03-09,620.88,577.12,657.48,694.59
2015-03-10,621.1,577.45,657.49,693.73
2015-03-11,619.27,575.43,654.0,691.67
2015-03-12,620.24,576.23,654.1,691.3
2015-03-13,616.94,574.08,654.52,690.0
2015-03-16,610.63,569.63,651.48,687.54
2015-03-17,611.24,569.92,650.23,691.0
2015-03-18,607.18,567.19,647.93,691.52
2015-03-19,601.31,562.75,645.28,690.29
2015-03-20,603.76,564.86,649.54,693.01
2015-03-23,598.07,560.15,645.29,685.67
2015-03-24,593.8,556.63,641.96,681.62
2015-03-25,590.17,554.27,641.32,682.3
2015-03-26,586.7,552.53,644.7,678.66
2015-03-27,583.02,548.9,641.5,674.15
2015-03-30,576.6,543.33,636.97,665.23
2015-03-31,579.97,547.46,643.49,669.49
2015-04-01,569.48,537.57,633.2,654.24
2015-04-02,576.13,543.73,642.04,660.24
2015-04-03,577.66,545.04,643.36,662.26
2015-04-06,572.71,540.95,640.03,659.72
2015-04-07,577.69,545.75,644.35,669.62
2015-04-08,575.94,545.35,648.52,668.51
2015-04-09,578.35,548.25,654.32,674.39
2015-04-10,583.34,551.94,654.41,675.69
2015-04-13,589.77,555.96,652.19,673.87
2015-04-14,587.24,553.21,647.92,668.41
2015-04-15,590.78,556.16,652.47,669.9
