"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2025","1,893.42","1,876.84","1,894.79","1,863.34","562.27M","0.88%"
"30/12/2025","1,876.84","1,861.65","1,876.84","1,847.55","523.54M","0.82%"
"29/12/2025","1,861.65","1,840.00","1,861.69","1,840.00","465.20M","1.18%"
"26/12/2025","1,840.00","1,851.89","1,851.89","1,791.67","879.93M","-0.64%"
"25/12/2025","1,851.89","1,898.71","1,919.45","1,851.89","603.11M","-2.47%"
"24/12/2025","1,898.71","1,884.28","1,904.76","1,868.35","657.47M","0.77%"
"23/12/2025","1,884.28","1,863.88","1,892.88","1,863.88","697.49M","1.09%"
"22/12/2025","1,863.88","1,812.52","1,863.88","1,812.52","721.65M","2.83%"
"19/12/2025","1,812.52","1,786.65","1,816.35","1,786.65","606.09M","1.45%"
"18/12/2025","1,786.65","1,781.21","1,786.65","1,771.00","463.74M","0.31%"
"17/12/2025","1,781.21","1,790.07","1,798.52","1,756.18","461.95M","-0.49%"
"16/12/2025","1,790.07","1,748.57","1,799.98","1,729.12","705.90M","2.37%"
"15/12/2025","1,748.57","1,750.76","1,769.90","1,736.83","561.67M","-0.13%"
"12/12/2025","1,750.76","1,809.43","1,817.01","1,740.41","786.54M","-3.24%"
"11/12/2025","1,809.43","1,826.65","1,830.36","1,802.92","472.94M","-0.94%"
"10/12/2025","1,826.65","1,850.46","1,854.63","1,820.78","489.96M","-1.29%"
"09/12/2025","1,850.46","1,860.13","1,876.36","1,826.16","860.80M","-0.52%"
"08/12/2025","1,860.13","1,856.53","1,880.92","1,853.92","578.92M","0.19%"
"05/12/2025","1,856.53","1,859.33","1,879.61","1,851.35","602.71M","-0.15%"
"04/12/2025","1,859.33","1,849.18","1,864.81","1,845.54","738.28M","0.55%"
"03/12/2025","1,849.18","1,828.49","1,858.53","1,823.68","701.70M","1.13%"
"02/12/2025","1,828.49","1,816.26","1,831.62","1,800.36","631.51M","0.67%"
"01/12/2025","1,816.26","1,812.08","1,830.39","1,810.86","498.83M","0.23%"
"28/11/2025","1,812.08","1,809.81","1,820.14","1,799.34","607.86M","0.13%"
"27/11/2025","1,809.81","1,809.04","1,824.70","1,807.18","567.45M","0.04%"
"26/11/2025","1,809.04","1,786.50","1,811.54","1,783.50","658.09M","1.26%"
