"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2025","1,475.95","1,478.90","1,481.22","1,468.08","64.17M","-0.20%"
"30/12/2025","1,478.90","1,478.18","1,483.87","1,472.73","55.44M","0.05%"
"29/12/2025","1,478.18","1,473.74","1,478.61","1,472.93","56.69M","0.30%"
"26/12/2025","1,473.74","1,479.99","1,479.99","1,453.26","85.42M","-0.42%"
"25/12/2025","1,479.99","1,489.72","1,492.26","1,478.54","68.48M","-0.65%"
"24/12/2025","1,489.72","1,492.90","1,495.22","1,482.80","68.85M","-0.21%"
"23/12/2025","1,492.90","1,494.48","1,501.63","1,486.16","83.83M","-0.11%"
"22/12/2025","1,494.48","1,485.72","1,494.51","1,480.42","79.86M","0.59%"
"19/12/2025","1,485.72","1,491.21","1,493.20","1,479.24","70.78M","-0.37%"
"18/12/2025","1,491.21","1,491.09","1,493.37","1,484.53","68.41M","0.01%"
"17/12/2025","1,491.09","1,492.14","1,495.53","1,485.58","63.39M","-0.07%"
"16/12/2025","1,492.14","1,468.41","1,493.09","1,456.32","79.43M","1.62%"
"15/12/2025","1,468.41","1,473.73","1,480.25","1,463.35","75.87M","-0.36%"
"12/12/2025","1,473.73","1,510.37","1,512.98","1,468.48","113.20M","-2.43%"
"11/12/2025","1,510.37","1,516.15","1,522.08","1,509.05","95.87M","-0.38%"
"10/12/2025","1,516.15","1,521.05","1,524.36","1,512.96","94.32M","-0.32%"
"09/12/2025","1,521.05","1,520.83","1,522.36","1,501.26","119.97M","0.01%"
"08/12/2025","1,520.83","1,522.59","1,528.53","1,515.19","106.23M","-0.12%"
"05/12/2025","1,522.59","1,530.08","1,536.04","1,521.30","78.75M","-0.49%"
"04/12/2025","1,530.08","1,520.20","1,530.30","1,520.20","83.57M","0.65%"
"03/12/2025","1,520.20","1,507.54","1,520.34","1,507.54","78.08M","0.84%"
"02/12/2025","1,507.54","1,505.55","1,508.71","1,494.23","71.74M","0.13%"
"01/12/2025","1,505.55","1,509.97","1,512.03","1,502.47","70.53M","-0.29%"
"28/11/2025","1,509.97","1,512.63","1,515.84","1,504.24","72.54M","-0.18%"
"27/11/2025","1,512.63","1,515.28","1,519.95","1,509.35","68.70M","-0.17%"
"26/11/2025","1,515.28","1,499.59","1,515.34","1,499.03","69.10M","1.05%"
"25/11/2025","1,499.59","1,516.77","1,518.64","1,496.34","88.81M","-1.13%"
"24/11/2025","1,516.77","1,524.75","1,530.48","1,514.80","70.97M","-0.52%"
"21/11/2025","1,524.75","1,528.70","1,529.90","1,515.88","95.50M","-0.26%"
"20/11/2025","1,528.70","1,529.44","1,533.99","1,521.11","65.94M","-0.05%"
"19/11/2025","1,529.44","1,541.20","1,544.23","1,523.48","68.32M","-0.76%"
"18/11/2025","1,541.20","1,539.05","1,544.29","1,533.93","77.06M","0.14%"
"17/11/2025","1,539.05","1,529.98","1,539.61","1,529.98","75.23M","0.59%"
"14/11/2025","1,529.98","1,529.68","1,532.61","1,524.82","65.70M","0.02%"
"13/11/2025","1,529.68","1,524.18","1,531.95","1,522.19","67.17M","0.36%"
"12/11/2025","1,524.18","1,502.81","1,524.20","1,502.81","77.29M","1.42%"
"11/11/2025","1,502.81","1,498.57","1,506.51","1,492.43","60.21M","0.28%"
"10/11/2025","1,498.57","1,504.60","1,509.60","1,493.25","67.16M","-0.40%"
"07/11/2025","1,504.60","1,527.71","1,529.05","1,498.69","77.38M","-1.51%"
"06/11/2025","1,527.71","1,526.89","1,532.29","1,518.59","64.30M","0.05%"
"05/11/2025","1,526.89","1,542.53","1,545.69","1,522.52","60.08M","-1.01%"
"04/11/2025","1,542.53","1,524.66","1,542.78","1,484.33","136.20M","1.17%"
"03/11/2025","1,524.66","1,540.69","1,547.99","1,522.21","112.76M","-1.04%"
"31/10/2025","1,540.69","1,545.61","1,550.59","1,536.00","103.21M","-0.32%"
"30/10/2025","1,545.61","1,544.01","1,552.48","1,538.61","106.89M","0.10%"
"29/10/2025","1,544.01","1,523.18","1,544.12","1,523.18","110.24M","1.37%"
"28/10/2025","1,523.18","1,506.85","1,523.18","1,489.01","95.74M","1.08%"
"27/10/2025","1,506.85","1,510.01","1,522.80","1,505.34","90.16M","-0.21%"
"24/10/2025","1,510.01","1,516.48","1,516.48","1,492.58","80.20M","-0.43%"
"23/10/2025","1,516.48","1,514.72","1,528.34","1,514.07","81.59M","0.12%"
"22/10/2025","1,514.72","1,501.53","1,514.72","1,485.71","91.13M","0.88%"
"21/10/2025","1,501.53","1,491.31","1,504.85","1,467.89","152.98M","0.69%"
"20/10/2025","1,491.31","1,560.04","1,564.26","1,488.24","145.73M","-4.41%"
"17/10/2025","1,560.04","1,569.08","1,577.07","1,557.13","118.45M","-0.58%"
"16/10/2025","1,569.08","1,559.77","1,570.77","1,559.02","115.12M","0.60%"
"15/10/2025","1,559.77","1,563.52","1,570.91","1,553.75","112.97M","-0.24%"
"14/10/2025","1,563.52","1,584.35","1,592.49","1,561.21","152.78M","-1.31%"
"13/10/2025","1,584.35","1,587.46","1,587.46","1,563.34","130.81M","-0.20%"
"10/10/2025","1,587.46","1,587.27","1,594.42","1,584.98","103.81M","0.01%"
"09/10/2025","1,587.27","1,584.68","1,590.10","1,579.54","88.06M","0.16%"
"08/10/2025","1,584.68","1,579.35","1,603.02","1,573.17","91.71M","0.34%"
"07/10/2025","1,579.35","1,595.39","1,603.86","1,578.41","79.18M","-1.01%"
"06/10/2025","1,595.39","1,557.96","1,595.41","1,555.94","93.03M","2.40%"
"03/10/2025","1,557.96","1,574.16","1,574.89","1,552.67","101.78M","-1.03%"
"02/10/2025","1,574.16","1,589.84","1,594.71","1,570.52","87.49M","-0.99%"
"01/10/2025","1,589.84","1,585.07","1,591.47","1,583.05","74.97M","0.30%"
"30/09/2025","1,585.07","1,601.34","1,605.28","1,565.19","122.90M","-1.02%"
"29/09/2025","1,601.34","1,616.17","1,622.33","1,597.31","101.61M","-0.92%"
"26/09/2025","1,616.17","1,620.99","1,624.55","1,614.27","139.49M","-0.30%"
"25/09/2025","1,620.99","1,608.68","1,624.21","1,608.68","146.30M","0.77%"
"24/09/2025","1,608.68","1,588.38","1,608.73","1,583.08","93.20M","1.28%"
"23/09/2025","1,588.38","1,590.41","1,596.94","1,584.98","68.65M","-0.13%"
"22/09/2025","1,590.41","1,612.85","1,617.62","1,579.53","127.90M","-1.39%"
"19/09/2025","1,612.85","1,612.29","1,620.72","1,607.01","94.83M","0.03%"
"18/09/2025","1,612.29","1,616.64","1,622.88","1,601.42","96.84M","-0.27%"
"17/09/2025","1,616.64","1,624.45","1,633.24","1,614.15","152.91M","-0.48%"
"16/09/2025","1,624.45","1,636.64","1,646.87","1,619.57","146.58M","-0.74%"
"15/09/2025","1,636.64","1,610.73","1,636.64","1,610.29","142.02M","1.61%"
"12/09/2025","1,610.73","1,593.91","1,611.25","1,593.68","134.44M","1.06%"
"11/09/2025","1,593.91","1,590.84","1,593.91","1,555.50","127.54M","0.19%"
"10/09/2025","1,590.84","1,592.78","1,601.23","1,580.03","89.66M","-0.12%"
"09/09/2025","1,592.78","1,586.95","1,593.94","1,573.79","113.59M","0.37%"
"08/09/2025","1,586.95","1,628.95","1,628.95","1,583.83","185.03M","-2.58%"
"05/09/2025","1,628.95","1,644.29","1,659.20","1,627.45","206.24M","-0.93%"
"04/09/2025","1,644.29","1,636.80","1,652.16","1,636.13","148.64M","0.46%"
"03/09/2025","1,636.80","1,615.55","1,636.81","1,615.55","134.03M","1.32%"
"29/08/2025","1,615.55","1,606.59","1,622.45","1,606.59","170.14M","0.56%"
"28/08/2025","1,606.59","1,597.17","1,606.59","1,595.31","102.93M","0.59%"
"27/08/2025","1,597.17","1,594.15","1,607.89","1,590.29","144.44M","0.19%"
"26/08/2025","1,594.15","1,557.43","1,594.15","1,553.14","132.00M","2.36%"
"25/08/2025","1,557.43","1,580.41","1,594.21","1,552.16","156.30M","-1.45%"
"22/08/2025","1,580.41","1,624.88","1,625.60","1,564.11","284.80M","-2.74%"
"21/08/2025","1,624.88","1,649.90","1,658.53","1,623.82","198.78M","-1.52%"
"20/08/2025","1,649.90","1,680.59","1,697.66","1,622.35","291.82M","-1.83%"
"19/08/2025","1,680.59","1,657.11","1,684.28","1,657.11","297.70M","1.42%"
"18/08/2025","1,657.11","1,634.00","1,657.11","1,634.00","193.35M","1.41%"
"15/08/2025","1,634.00","1,659.62","1,667.02","1,624.43","283.44M","-1.54%"
"14/08/2025","1,659.62","1,659.78","1,671.94","1,648.49","225.24M","-0.01%"
"13/08/2025","1,659.78","1,646.46","1,661.57","1,629.66","275.80M","0.81%"
"12/08/2025","1,646.46","1,639.44","1,652.89","1,626.96","245.79M","0.43%"
"11/08/2025","1,639.44","1,619.77","1,645.30","1,619.77","240.50M","1.21%"
"08/08/2025","1,619.77","1,610.32","1,620.45","1,596.07","264.95M","0.59%"
"07/08/2025","1,610.32","1,589.61","1,610.32","1,589.61","242.54M","1.30%"
